sno,cleaned_tweet,is_hate_speech,image_path
88,kamalshaqi kevinnnnn funny page quoted tweet term camel jockey bc fucking arab dumbass,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\88.png
89,ima pull eat pussy dip,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\89.png
90,subway worker major bitch soldier come show respect,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\90.png
91,coleycee yes bitch realize dat,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\91.png
92,shut fuck fucking cunt,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\92.png
93,fine bitch walmart melted ankles,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\93.png
94,never replied asking calling redneck gigg psherm echoeserrant jstines,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\94.png
95,bellaangeletti ur fag,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\95.png
96,okay natitude sooooo coolgt come bitches dont call obama bo jingo thats thought gobuycomb,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\96.png
97,haha ill shoot bitch guess gun bi,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\97.png
98,always look like bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\98.png
99,rt blazethegreat likely signs crazy bitches aries taurus gemini cancer leo virgo libra scorpio sagittarius capricorn aq,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\99.png
100,boozer trash,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\100.png
101,fault yo bitch wanna flip,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\101.png
102,todays spy ops soles need cleaning lick lick bet cuties sneaks smell good httptcochjdvngp,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\102.png
103,rt belong self esteem two levels im worthless piece shit deserves love bow bitches,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\103.png
104,dhugga dhugga baby h u g e r kiss nigga bitch perfect cpr,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\104.png
105,danlukas gotta keep bitch check,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\105.png
106,lmaoooooo eat goal faggot gezus,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\106.png
107,rt alexishope got niggas amp got bitches want,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\107.png
108,nigga fuck hoe ion want fuck yo hoe fat chick amp bad built,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\108.png
109,illbreatheyouin happy birthday faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\109.png
110,nicca tip cant act shit takers,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\110.png
111,low info people pissed oh dumb fucks race baiting bitches,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\111.png
112,snapchat selfies instagram selfies nothing bad bitch week man going,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\112.png
113,man im tryin take intoxication charlie sheen levels today im going,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\113.png
114,side bitch main bitch bc main hoe aint feeling mo mo,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\114.png
115,seansteiger bitch taught know mess ups,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\115.png
116,really bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\116.png
117,got spanish bitch name nina paranoid,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\117.png
118,rt torriable want leave said going eat pussy im afraid go leave cat alone,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\118.png
119,liltrll cant wait see bitch tmrw gatsby lpy,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\119.png
120,lied fair isnt place reno girls dress like cowgirl sluts nitc hash tag bitches,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\120.png
121,weird miss robertson screwdrivers gt toque mickey ten canadianisms httptcolufacmlo via nationalpost,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\121.png
122,rt budahound popping life whats fame bitches stalking life bitches aint thang,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\122.png
123,rt kingtunchi lol bitch cool sit get kill get twitter talk,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\123.png
124,phone acting retarded,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\124.png
125,got faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\125.png
126,lifes bitch ya die thats get high,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\126.png
127,bout smoke n dis bitch pollution,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\127.png
128,rt stonerxpress doesnt know dab meansfuck bitch httptcormautzjcpy,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\128.png
129,respect bitches respect theyself truu,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\129.png
130,beekayns alas proficient neither skills limited pointless stat memorization trash talk,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\130.png
131,never gas hoes take ass home,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\131.png
132,littlecball austinmahone robert bc one cussing like tomorrow bc hes pussy,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\132.png
133,kiefferjason oh grades say wise u stfu get twitter u box simple ass pussy boy,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\133.png
134,cottoncandy god wrote em think coon,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\134.png
135,shouldve thrown whole roll pennies made month bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\135.png
136,klejdys may hustlin studied critical race theory people holder getting revenge hate whitey,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\136.png
137,bad bitches thing like,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\137.png
138,slapahoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\138.png
139,suck super monkey balls,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\139.png
140,rt ap lifelong yankee fan puts aside rooting interest returns lost red sox world series ring rightful owner httptcogdlcpwdnoo,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\140.png
141,kayreneaa holy fuck thank hate bitches fuck ex boyfriend back back like damn call peace pipe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\141.png
142,rt friendlyasshle yr old bitches really got minimum wage nigga alex thinking starting clothing line im done,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\142.png
143,brothers asshat friends think okay vandalize property hes racist wana redneck,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\143.png
144,elementary school tied girl tetherball pole tetherball cause bein bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\144.png
145,always buy colored goldfish stash low constant inspiration httptconcpdusljf,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\145.png
146,getting money aint worried bout hoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\146.png
147,youre bad bitch want,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\147.png
148,mixddchickk donny hoe since,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\148.png
149,rt sassymermaidxo vsamone zvckslvtr sister shittin hos vsamone wodeh bout dat action httptcomdflbr,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\149.png
150,smoke sum bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\150.png
151,alesiahenderson wat faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\151.png
152,mrmooncricket oh hell fuck uncle tom bitch remember yo punk broke ass,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\152.png
153,boats hoes please thanks mom,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\153.png
154,liamgeraldshone arannicolwhufc dsaend get real hair cut faggot served country marines years u done,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\154.png
155,heard rumors vile hideous traitorous bitch named pelosi parading around w illegal aliens vets get shaft bloodboiling,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\155.png
156,even though lil waynes music turned trash ceilings human always favorites,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\156.png
157,chill im coon rt ambitiouscam sick fake bougie ass coons lol,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\157.png
158,indigenouspeoplesday right redskins lot queens right nomg sofunny,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\158.png
159,rt tigolbittiesxo bitch u born pounds sephora mac ya face thats ya natural face,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\159.png
160,sister bitch nephew got first haircut hes bald,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\160.png
161,rt senorsteez man hoes know thejigisup httptcowagbxa,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\161.png
162,rt fleebiscuit girls anchor tats hoes,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\162.png
163,customer service ogniccib really need bitch get fxck business open new account leave alone,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\163.png
164,jake mad happy hugged muscle faced renee russo end like yeah bitches bout win,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\164.png
165,rt tbhmoose girl tweeted might ghetto u bring food outside movies u might stupid u pay b,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\165.png
166,whole time bitch phone moaning bitch ear though,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\166.png
167,rt soybrent steal niggas bitch dont steal niggas tweets,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\167.png
168,playing white guilt lasted one last time whitey felt absolved ends today ends fieldssuburbs pennsylvania,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\168.png
169,karmendanielle let coons great dream,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\169.png
170,alancasillas lol bitches riverside la ahah,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\170.png
171,like bitch youre man means dont show fear pain strong others cant,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\171.png
172,whiteangelss fieldsdevante mmm fuck honkey u need wake realize get skin,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\172.png
173,rt deraydavis cure ratchet run course bitches,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\173.png
174,four hors back iphone haha jokes,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\174.png
175,rt ruthlessmando bitch dont like,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\175.png
176,kassiehamilton annelizabeth erinlehrer thanks kass respect annie youre bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\176.png
177,im really nice bitch times,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\177.png
178,rt mckinley wizkhalifa pretty bitches rep taylor gang hollah lmfaoo,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\178.png
179,richardengel ughand lemme guess yellow cake heard story,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\179.png
180,rt chughes tyzebruh trash cans always demanding new music gawd tyga,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\180.png
181,blame alchohol claim truth come drunkthey defend hoe hoe backward ass mofos,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\181.png
182,political ass bitches,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\182.png
183,rt friendlyasshle rt u remember steve blue clues left us bitch ass nigga joe httptcoaluyeoxk,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\183.png
184,sotribekasey surrounded bad bitches cant keep face wheretheyatdoe,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\184.png
185,yeah forgot say dumb twisttwizzy snoopdogg made mistake calling iggyazalea bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\185.png
186,rt menshumor cheating good woman like eating trash instead going steak truth,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\186.png
187,mother fuck everything got going today im going vegas hours bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\187.png
188,ion speak flaw niggas thirsty hoes ig boyyyyyy look,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\188.png
189,sitting next neighborhood crazy bitch amp keeps randomly busting laughing,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\189.png
190,tobinsupreme trash,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\190.png
191,ben gett ya pussy ben get ya head,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\191.png
192,dizzybala jmattear awww dis sellout nigguh still talking,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\192.png
193,rt theejenbunny oh missed bitch bitxhes got socked face,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\193.png
194,raepaelmunturo worldstarfunny aye sae en feeld kawkin dyke,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\194.png
195,wish girlfriend come home long night fuckin wit bitches club,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\195.png
196,see ima stop getting twitter arguing hoesstupidity trait dont fuck,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\196.png
197,raydec haha yeah say im little bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\197.png
198,raunchy ass hoe,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\198.png
199,random kids sit plaza day shitty cars faggots,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\199.png
200,thatniggatroy oomf fuckin fine tho dam dont bitch,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\200.png
201,quan dino rt faggot ass niggas aight man,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\201.png
202,hoe crying yo ass pregnant smiles riding dick bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\202.png
203,defendwallst little isis faggots usually bags heads anyway makes bullet placement interesting thru scope,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\203.png
204,kenobino ohh mr im tough cause live retarded city thinks hes cool people like shoveling snow broke bum,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\204.png
205,bitch gon blast got ass like httptcoyzjvcunf,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\205.png
206,girl retarded,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\206.png
207,nothing good tv yankees eating balls innings great,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\207.png
208,rt topblokebill justin beiber fucken gay cunt ariinv httptcopghisydeyb,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\208.png
209,mean bitch whilin gone get knocked tf,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\209.png
210,jew deuterostomes favorited tweet though lol dont anymore time trash,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\210.png
211,trash tiemyduragboo black people play rampb amp hip hop partiesplay dubstep houseyall coons need expand,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\211.png
212,boy yung thug fag,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\212.png
213,rt thecelebrittany porn hoes moan everything nigga unbutton shirt moaning like stfu,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\213.png
214,rt mnyves want someone call without another bitch staking claim simultaneously,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\214.png
215,rt youngrecklesss aint money hoe world spoil mybrotherskeeper,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\215.png
216,ion fight aint pussy heart nigga ion fear nobody god loose win draw,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\216.png
217,especially dem souf niccas dat shit outrageous,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\217.png
218,theshardyrebel faggot,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\218.png
219,giannenichole lakers really trash,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\219.png
220,rt cheyycheyy rivers seriously bitch dont throw hands around like year old bc something didnt go right lol,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\220.png
221,rt teapot stuff broke loose must panic share gif instead httptcojlguiej,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\221.png
222,still think snap chat faggots high schoolers,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\222.png
223,rt rashia quotable rt chrissibaxter man aint appreciating pussy definitely gonna end another nigga mouth,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\223.png
224,whenever see pic captioned soft ghetto log minutes,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\224.png
225,weed nigguh retweet,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\225.png
226,rt bluntsnextdoor bitch get fucked httpstcocnlvnwnxz,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\226.png
227,rt waymoflydenu yall hoes hurry single mothers,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\227.png
228,kiefferjason bitch must flew u head cuz u didnt show plano senior high school plano tx fuck boy,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\228.png
229,dont tell ryan tannehills better dogshit alex smiths trash ass fuck,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\229.png
230,titanmtzzz vegeta little bitch teamgoku,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\230.png
231,rt ozlito dis bitch wanna smoke weed,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\231.png
232,none chantel lol rt tellyjellybelly got hoes waters edge big,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\232.png
233,ariestheog cut bitch,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\233.png
234,gfcrich beyonce amp kim kardashian problem sucking mans dick average looking broke bitches shouldnt neither,1,C:\Users\ASUS\Desktop\mma work\melspectrograms\234.png
235,wiz khalifa influential rapper era seem forget trends nigguh started,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\235.png
236,fzrodl exception gilda radner bitch funny,0,C:\Users\ASUS\Desktop\mma work\melspectrograms\236.png
